---,Index,Name,EnemyType,Level,ShieldMax,ShieldRest,ShieldRecover,HpMax,HpRest,HpRecover,AttackRange,Attack,SkillAttack,SkillCoolTime,Defence,Pierce,Accuracy,MoveSpd,FireRate,BulletSpd,ReloadSpd,CriticalRate,CriticalDamage,JumpForce,DropGroup,DropExp,BPEnemyPath,SetupSkills
11,100402,Sniper,1,2,0,0,0,25,0,0,6500,50,5,10,0,0,0.6,150,0.4,1,2,0,1,300,0,25,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
12,100403,Sniper,1,3,0,0,0,45,0,0,6500,70,5,10,0,0,0.6,200,0.4,1,2,0,1,300,0,25,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
13,100501,FastAttacker,1,1,0,0,0,15,0,0,70,5,5,10,0,0,0.6,700,1.8,0.7,2,0,1,300,0,15,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
14,100502,FastAttacker,1,2,0,0,0,25,0,0,70,8,5,10,0,0,0.6,750,1.8,0.7,2,0,1,300,0,15,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
15,100503,FastAttacker,1,3,0,0,0,45,0,0,70,12,5,10,0,0,0.6,800,1.8,0.7,2,0,1,300,0,15,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
16,100601,HeavySword,1,1,30,15,3,60,0,0,100,40,5,10,0,0,0.6,400,0.5,0.7,2,0,1,300,0,30,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
17,100602,HeavySword,1,2,30,15,3,100,0,0,100,60,5,10,0,0,0.6,400,0.5,0.7,2,0,1,300,0,30,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
18,100701,HeavyAssault,1,1,10,15,3,40,0,0,2500,15,5,10,0,0,0.6,400,1.7,0.7,2,0,1,300,0,35,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
19,100702,HeavyAssault,1,2,10,15,3,80,0,0,2500,30,5,10,0,0,0.6,400,1.7,0.7,2,0,1,300,0,35,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
20,100801,Mortal,1,1,10,15,3,25,0,0,9000,80,5,10,0,0,0.8,150,0.1,0.3,4,0,1,300,0,40,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
21,100802,Mortal,1,2,10,15,3,25,0,0,9000,125,5,10,0,0,0.8,150,0.1,0.3,4,0,1,300,0,40,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
